,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2774,0,2020-09-12,15:00,Premier League,Matchweek 1,Sat,Home,W,1,0,Southampton,1.1,0.9,31.0,,Scott Dann,4-4-2,4-4-2,Jonathan Moss,Match Report,,5.0,3.0,10.6,0.0,0,0,2021,Crystal Palace
2775,2,2020-09-19,17:30,Premier League,Matchweek 2,Sat,Away,W,3,1,Manchester Utd,1.6,1.2,25.0,,Wilfried Zaha,4-4-2,4-2-3-1,Martin Atkinson,Match Report,,13.0,4.0,18.6,0.0,1,1,2021,Crystal Palace
2779,6,2020-10-24,15:00,Premier League,Matchweek 6,Sat,Away,W,2,1,Fulham,2.5,1.1,36.0,,Luka Milivojević,4-4-2,4-3-2-1,Graham Scott,Match Report,,14.0,10.0,11.9,1.0,0,0,2021,Crystal Palace
2781,8,2020-11-07,15:00,Premier League,Matchweek 8,Sat,Home,W,4,1,Leeds United,0.9,0.8,36.0,,Scott Dann,4-4-2,3-3-3-1,Chris Kavanagh,Match Report,,10.0,6.0,17.2,1.0,0,0,2021,Crystal Palace
2784,11,2020-12-06,12:00,Premier League,Matchweek 11,Sun,Away,W,5,1,West Brom,1.6,0.7,50.0,,Luka Milivojević,4-4-2,3-4-1-2,Paul Tierney,Match Report,,18.0,6.0,16.0,0.0,0,0,2021,Crystal Palace
2790,17,2021-01-02,15:00,Premier League,Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,0.6,0.4,44.0,,Luka Milivojević,4-4-2,3-5-2,Stuart Attwell,Match Report,,9.0,4.0,17.9,0.0,0,0,2021,Crystal Palace
2794,22,2021-01-30,15:00,Premier League,Matchweek 21,Sat,Home,W,1,0,Wolves,1.4,0.4,48.0,,Luka Milivojević,4-2-3-1,3-4-3,Simon Hooper,Match Report,,11.0,2.0,20.0,2.0,0,0,2021,Crystal Palace
2795,23,2021-02-02,20:15,Premier League,Matchweek 22,Tue,Away,W,2,1,Newcastle Utd,0.7,1.9,39.0,,Luka Milivojević,4-4-2,4-3-1-2,Darren England,Match Report,,6.0,3.0,18.6,0.0,0,0,2021,Crystal Palace
2798,26,2021-02-22,20:00,Premier League,Matchweek 25,Mon,Away,W,2,1,Brighton,0.2,2.4,26.0,,Luka Milivojević,4-3-3,4-4-2,Kevin Friend,Match Report,,3.0,2.0,15.0,0.0,0,0,2021,Crystal Palace
2802,30,2021-03-13,15:00,Premier League,Matchweek 28,Sat,Home,W,1,0,West Brom,1.2,0.8,45.0,,Luka Milivojević,4-4-2,4-1-4-1,Simon Hooper,Match Report,,5.0,3.0,23.0,0.0,1,1,2021,Crystal Palace
2807,35,2021-05-08,15:00,Premier League,Matchweek 35,Sat,Away,W,2,0,Sheffield Utd,2.0,0.7,50.0,,Luka Milivojević,4-3-3,3-5-2,Simon Hooper,Match Report,,21.0,8.0,16.1,1.0,0,0,2021,Crystal Palace
2809,37,2021-05-16,12:00,Premier League,Matchweek 36,Sun,Home,W,3,2,Aston Villa,1.9,1.4,45.0,,Gary Cahill,4-3-3,4-3-3,David Coote,Match Report,,23.0,8.0,18.0,2.0,0,0,2021,Crystal Palace
