,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2446,21,2020-12-26,12:30,Premier League,Matchweek 15,Sat,Home,D,2,2,Manchester Utd,0.9,1.7,54.0,,Kasper Schmeichel,4-2-3-1,4-2-3-1,Mike Dean,Match Report,,10.0,2.0,17.6,1.0,0,0,2021,Leicester City
2447,22,2020-12-28,15:00,Premier League,Matchweek 16,Mon,Away,D,1,1,Crystal Palace,1.9,0.5,66.0,,Kasper Schmeichel,4-2-3-1,4-4-2,Graham Scott,Match Report,,16.0,2.0,20.4,2.0,0,1,2021,Leicester City
2451,28,2021-01-27,20:15,Premier League,Matchweek 20,Wed,Away,D,1,1,Everton,1.2,0.5,65.0,,Kasper Schmeichel,4-2-3-1,4-4-2,Mike Dean,Match Report,,19.0,6.0,21.4,2.0,0,0,2021,Leicester City
2454,31,2021-02-07,14:00,Premier League,Matchweek 23,Sun,Away,D,0,0,Wolves,0.8,1.1,56.0,,Kasper Schmeichel,4-2-3-1,3-4-3,Martin Atkinson,Match Report,,13.0,3.0,19.8,1.0,0,0,2021,Leicester City
2458,38,2021-03-03,18:00,Premier League,Matchweek 29,Wed,Away,D,1,1,Burnley,1.2,1.8,61.0,,Kasper Schmeichel,3-1-4-2,4-4-2,Andy Madley,Match Report,,16.0,4.0,20.0,0.0,0,0,2021,Leicester City
2465,47,2021-04-30,20:00,Premier League,Matchweek 34,Fri,Away,D,1,1,Southampton,1.9,0.9,70.0,,Kasper Schmeichel,3-4-1-2,4-4-2,Robert Jones,Match Report,,23.0,9.0,18.6,1.0,0,0,2021,Leicester City
