,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
650,5,2023-09-23,15:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,2.1,0.6,57.0,10893.0,Tom Lockyer,3-4-3,4-2-3-1,Joshua Smith,Match Report,,19.0,3.0,17.3,0.0,1,1,2024,Luton Town
654,10,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,1.7,2.9,43.0,29361.0,Tom Lockyer,4-4-2,4-3-3,Samuel Barrott,Match Report,,13.0,4.0,17.6,0.0,0,0,2024,Luton Town
656,12,2023-11-05,16:30,Premier League,Matchweek 11,Sun,Home,D,1,1,Liverpool,0.8,2.6,27.0,11049.0,Tom Lockyer,3-4-3,4-3-3,Andy Madley,Match Report,,8.0,5.0,17.9,0.0,0,0,2024,Luton Town
665,22,2024-01-12,19:45,Premier League,Matchweek 21,Fri,Away,D,1,1,Burnley,0.9,1.1,61.0,20155.0,Amari'i Bell,3-4-3,4-4-2,Tony Harrington,Match Report,,14.0,5.0,18.2,0.0,0,0,2024,Luton Town
667,26,2024-02-03,15:00,Premier League,Matchweek 23,Sat,Away,D,4,4,Newcastle Utd,2.4,2.3,45.0,52211.0,Carlton Morris,3-4-3,4-3-3,Thomas Bramall,Match Report,,10.0,7.0,14.0,0.0,1,1,2024,Luton Town
672,32,2024-03-09,15:00,Premier League,Matchweek 28,Sat,Away,D,1,1,Crystal Palace,0.8,2.7,51.0,25103.0,Carlton Morris,3-4-3,3-4-3,Sunny Singh,Match Report,,8.0,2.0,11.9,0.0,0,0,2024,Luton Town
674,34,2024-03-16,15:00,Premier League,Matchweek 29,Sat,Home,D,1,1,Nott'ham Forest,0.6,2.0,60.0,11630.0,Carlton Morris,3-4-3,4-2-3-1,Darren England,Match Report,,10.0,4.0,18.5,0.0,0,0,2024,Luton Town
681,41,2024-05-03,20:00,Premier League,Matchweek 36,Fri,Home,D,1,1,Everton,0.8,1.4,51.0,11873.0,Carlton Morris,3-4-3,4-4-1-1,Tim Robinson,Match Report,,18.0,5.0,18.4,0.0,0,0,2024,Luton Town
