,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
532,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,2.7,1.5,42.0,39940.0,James Tarkowski,4-4-1-1,4-3-3,Stuart Attwell,Match Report,,19.0,9.0,15.8,0.0,0,0,2024,Everton
533,1,2023-08-20,14:00,Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0.6,2.9,40.0,41694.0,James Tarkowski,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,9.0,2.0,14.7,0.0,0,0,2024,Everton
534,2,2023-08-26,15:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,1.3,1.1,47.0,38851.0,James Tarkowski,4-1-4-1,4-4-1-1,Craig Pawson,Match Report,,15.0,7.0,13.8,0.0,0,0,2024,Everton
536,5,2023-09-17,16:30,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0.3,1.0,26.0,39217.0,James Tarkowski,4-5-1,4-3-3,Simon Hooper,Match Report,,8.0,1.0,21.6,0.0,0,0,2024,Everton
538,8,2023-09-30,15:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,2.9,0.9,67.0,39289.0,James Tarkowski,4-4-1-1,3-4-3,Anthony Taylor,Match Report,,23.0,4.0,14.4,0.0,0,0,2024,Everton
540,10,2023-10-21,12:30,Premier League,Matchweek 9,Sat,Away,L,0,2,Liverpool,0.1,2.2,23.0,50201.0,James Tarkowski,4-4-1-1,4-3-3,Craig Pawson,Match Report,,6.0,1.0,35.2,0.0,0,0,2024,Everton
544,15,2023-11-26,16:30,Premier League,Matchweek 13,Sun,Home,L,0,3,Manchester Utd,2.4,2.2,51.0,39257.0,James Tarkowski,4-4-1-1,4-2-3-1,John Brooks,Match Report,,24.0,6.0,16.9,0.0,0,0,2024,Everton
549,21,2023-12-23,15:00,Premier League,Matchweek 18,Sat,Away,L,1,2,Tottenham,1.8,1.5,39.0,61808.0,James Tarkowski,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,18.0,8.0,15.8,0.0,0,0,2024,Everton
550,22,2023-12-27,20:15,Premier League,Matchweek 19,Wed,Home,L,1,3,Manchester City,1.0,2.4,28.0,39327.0,James Tarkowski,4-2-3-1,4-2-3-1,John Brooks,Match Report,,7.0,2.0,12.5,0.0,0,0,2024,Everton
551,23,2023-12-30,15:00,Premier League,Matchweek 20,Sat,Away,L,0,3,Wolves,0.4,1.9,47.0,31639.0,James Tarkowski,5-4-1,3-4-3,Thomas Bramall,Match Report,,10.0,0.0,20.7,0.0,0,0,2024,Everton
555,30,2024-02-10,12:30,Premier League,Matchweek 24,Sat,Away,L,0,2,Manchester City,0.3,1.6,28.0,52187.0,James Tarkowski,4-2-3-1,4-1-4-1,John Brooks,Match Report,,5.0,1.0,22.9,0.0,0,0,2024,Everton
558,33,2024-03-02,15:00,Premier League,Matchweek 27,Sat,Home,L,1,3,West Ham,2.7,1.9,55.0,39262.0,James Tarkowski,4-4-1-1,4-2-3-1,Craig Pawson,Match Report,,21.0,9.0,21.8,0.0,0,1,2024,Everton
559,34,2024-03-09,12:30,Premier League,Matchweek 28,Sat,Away,L,0,2,Manchester Utd,1.6,2.7,49.0,73601.0,James Tarkowski,4-4-1-1,4-2-4-0,Simon Hooper,Match Report,,23.0,6.0,16.9,1.0,0,0,2024,Everton
560,35,2024-03-30,15:00,Premier League,Matchweek 30,Sat,Away,L,1,2,Bournemouth,1.0,1.3,52.0,11207.0,Séamus Coleman,4-4-1-1,4-2-3-1,Samuel Barrott,Match Report,,7.0,3.0,16.0,0.0,0,0,2024,Everton
563,38,2024-04-15,20:00,Premier League,Matchweek 33,Mon,Away,L,0,6,Chelsea,1.5,3.1,42.0,39392.0,Séamus Coleman,4-4-1-1,4-2-3-1,Paul Tierney,Match Report,,10.0,2.0,13.7,0.0,0,0,2024,Everton
569,44,2024-05-19,16:00,Premier League,Matchweek 38,Sun,Away,L,1,2,Arsenal,0.6,2.9,32.0,60312.0,Séamus Coleman,4-4-1-1,4-3-3,Michael Oliver,Match Report,,5.0,2.0,20.3,2.0,0,0,2024,Everton
