,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
418,0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62.0,11245.0,Neto,4-2-3-1,4-2-3-1,Peter Bankes,Match Report,,14.0,5.0,20.7,1.0,0,0,2024,Bournemouth
421,4,2023-09-02,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40.0,16973.0,Neto,4-2-3-1,4-3-3,Robert Madley,Match Report,,12.0,5.0,15.1,0.0,0,0,2024,Bournemouth
422,5,2023-09-17,14:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,1.0,1.8,36.0,10421.0,Neto,4-2-3-1,4-2-3-1,David Coote,Match Report,,13.0,4.0,16.7,1.0,0,0,2024,Bournemouth
431,16,2023-12-03,14:00,Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,2.0,0.7,38.0,11191.0,Neto,4-2-3-1,4-4-2,Thomas Bramall,Match Report,,15.0,7.0,13.6,0.0,0,0,2024,Bournemouth
438,25,2024-02-01,19:30,Premier League,Matchweek 22,Thu,Away,D,1,1,West Ham,1.2,1.4,52.0,62478.0,Neto,4-2-3-1,4-3-2-1,Tim Robinson,Match Report,,9.0,4.0,17.2,0.0,0,0,2024,Bournemouth
439,26,2024-02-04,14:00,Premier League,Matchweek 23,Sun,Home,D,1,1,Nott'ham Forest,1.3,0.5,45.0,11200.0,Neto,4-2-3-1,4-2-3-1,Rebecca Welch,Match Report,,9.0,1.0,16.7,1.0,0,0,2024,Bournemouth
441,28,2024-02-17,15:00,Premier League,Matchweek 25,Sat,Away,D,2,2,Newcastle Utd,2.2,2.2,38.0,52224.0,Neto,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,12.0,6.0,20.3,0.0,0,0,2024,Bournemouth
444,32,2024-03-09,15:00,Premier League,Matchweek 28,Sat,Home,D,2,2,Sheffield Utd,3.3,1.2,69.0,11074.0,Neto,4-2-3-1,3-5-2,Anthony Taylor,Match Report,,31.0,11.0,16.9,0.0,0,1,2024,Bournemouth
449,37,2024-04-13,17:30,Premier League,Matchweek 33,Sat,Home,D,2,2,Manchester Utd,1.6,1.2,43.0,11229.0,Neto,4-2-3-1,4-2-3-1,Tony Harrington,Match Report,,20.0,5.0,16.8,1.0,0,0,2024,Bournemouth
