,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1483,1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,2,2,Leeds United,1.2,1.8,43.0,30815.0,James Ward-Prowse,3-4-3,4-2-3-1,Tony Harrington,Match Report,,14.0,4.0,18.1,1.0,0,0,2023,Southampton
1491,10,2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,1,1,West Ham,0.5,1.7,39.0,29159.0,James Ward-Prowse,4-3-3,3-4-3,Peter Bankes,Match Report,,10.0,8.0,19.6,0.0,0,0,2023,Southampton
1493,12,2022-10-23,14:00,Premier League,Matchweek 13,Sun,Home,D,1,1,Arsenal,0.7,1.0,41.0,31145.0,James Ward-Prowse,4-4-2,4-3-3,Robert Jones,Match Report,,10.0,3.0,19.4,0.0,0,0,2023,Southampton
1507,34,2023-03-12,14:00,Premier League,Matchweek 27,Sun,Away,D,0,0,Manchester Utd,1.0,0.8,53.0,73439.0,James Ward-Prowse,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,17.0,4.0,21.2,2.0,0,0,2023,Southampton
1509,36,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Home,D,3,3,Tottenham,2.4,2.3,51.0,30157.0,James Ward-Prowse,4-4-2,3-4-3,Simon Hooper,Match Report,,18.0,6.0,19.6,1.0,1,1,2023,Southampton
1513,40,2023-04-21,20:00,Premier League,Matchweek 32,Fri,Away,D,3,3,Arsenal,1.3,2.5,26.0,60175.0,James Ward-Prowse,4-4-2,4-3-3,Simon Hooper,Match Report,,8.0,6.0,12.4,0.0,0,0,2023,Southampton
1519,46,2023-05-28,16:30,Premier League,Matchweek 38,Sun,Home,D,4,4,Liverpool,1.8,4.0,31.0,31129.0,James Ward-Prowse,4-2-3-1,4-3-3,Darren England,Match Report,,15.0,10.0,17.5,1.0,0,0,2023,Southampton
