,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1444,0,2022-08-06,15:00,Premier League,Matchweek 1,Sat,Home,W,2,1,Wolves,0.8,1.3,40.0,36347.0,Patrick Bamford,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,12.0,4.0,18.6,1.0,0,0,2023,Leeds United
1446,2,2022-08-21,14:00,Premier League,Matchweek 3,Sun,Home,W,3,0,Chelsea,2.1,0.9,39.0,36372.0,Rodrigo,4-2-3-1,3-5-2,Stuart Attwell,Match Report,,12.0,6.0,16.3,0.0,0,0,2023,Leeds United
1455,12,2022-10-29,19:45,Premier League,Matchweek 14,Sat,Away,W,2,1,Liverpool,1.8,1.7,32.0,53274.0,Liam Cooper,4-2-3-1,4-1-2-1-2,Michael Oliver,Match Report,,14.0,6.0,19.4,3.0,0,0,2023,Leeds United
1456,13,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,W,4,3,Bournemouth,2.2,1.5,60.0,36304.0,Liam Cooper,4-2-3-1,4-4-2,Tony Harrington,Match Report,,17.0,3.0,15.9,0.0,1,1,2023,Leeds United
1467,28,2023-02-25,15:00,Premier League,Matchweek 25,Sat,Home,W,1,0,Southampton,0.9,0.4,61.0,36641.0,Luke Ayling,4-2-3-1,4-4-2,Peter Bankes,Match Report,,14.0,4.0,16.2,0.0,0,0,2023,Leeds United
1470,32,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,W,4,2,Wolves,1.6,2.7,35.0,31570.0,Luke Ayling,4-2-3-1,4-3-3,Michael Salisbury,Match Report,,11.0,4.0,17.7,2.0,0,0,2023,Leeds United
1472,34,2023-04-04,19:45,Premier League,Matchweek 7,Tue,Home,W,2,1,Nott'ham Forest,1.8,0.8,61.0,36740.0,Luke Ayling,4-2-3-1,4-3-2-1,Robert Jones,Match Report,,21.0,6.0,17.3,0.0,0,0,2023,Leeds United
