,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
1484,2,2022-08-20,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Leicester City,0.9,0.3,38.0,30850.0,James Ward-Prowse,4-2-3-1,4-1-4-1,Michael Salisbury,Match Report,,9.0,3.0,15.0,0.0,0,0,2023,Southampton
1486,5,2022-08-30,19:45,Premier League,Matchweek 5,Tue,Home,W,2,1,Chelsea,1.1,1.1,33.0,31542.0,James Ward-Prowse,4-2-3-1,4-2-2-2,Michael Oliver,Match Report,,9.0,5.0,17.8,0.0,0,0,2023,Southampton
1492,11,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Away,W,1,0,Bournemouth,1.0,1.0,46.0,10405.0,James Ward-Prowse,4-4-2,3-4-3,John Brooks,Match Report,,9.0,3.0,13.0,0.0,0,0,2023,Southampton
1500,23,2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,W,2,1,Everton,1.2,1.4,48.0,39305.0,James Ward-Prowse,4-2-3-1,3-4-3,John Brooks,Match Report,,13.0,5.0,20.7,2.0,0,0,2023,Southampton
1504,30,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,W,1,0,Chelsea,0.6,1.6,38.0,40152.0,James Ward-Prowse,4-4-2,4-2-3-1,David Coote,Match Report,,8.0,4.0,19.7,1.0,0,0,2023,Southampton
1506,33,2023-03-04,17:30,Premier League,Matchweek 26,Sat,Home,W,1,0,Leicester City,1.4,1.9,35.0,30139.0,James Ward-Prowse,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,10.0,4.0,23.6,1.0,0,1,2023,Southampton
