,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
2248,8,2021-10-02,15:00,Premier League,Matchweek 7,Sat,Away,D,0,0,Burnley,0.6,1.2,44.0,17427.0,Grant Hanley,5-3-2,4-4-2,Kevin Friend,Match Report,,10.0,2.0,20.7,2.0,0,0,2022,Norwich City
2249,9,2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,D,0,0,Brighton,1.2,0.8,36.0,26777.0,Grant Hanley,5-3-2,3-5-2,Peter Bankes,Match Report,,15.0,2.0,21.7,1.0,0,0,2022,Norwich City
2254,14,2021-11-27,15:00,Premier League,Matchweek 13,Sat,Home,D,0,0,Wolves,1.6,0.3,43.0,26911.0,Grant Hanley,4-1-4-1,3-4-3,Simon Hooper,Match Report,,14.0,4.0,18.2,1.0,0,0,2022,Norwich City
2255,15,2021-11-30,19:30,Premier League,Matchweek 14,Tue,Away,D,1,1,Newcastle Utd,1.2,1.1,68.0,50757.0,Grant Hanley,4-1-4-1,4-4-2,Andy Madley,Match Report,,16.0,6.0,16.9,1.0,0,0,2022,Norwich City
2264,26,2022-02-09,19:45,Premier League,Matchweek 24,Wed,Home,D,1,1,Crystal Palace,0.4,1.3,30.0,26652.0,Grant Hanley,4-4-2,4-3-3,Paul Tierney,Match Report,,5.0,1.0,15.7,0.0,0,0,2022,Norwich City
2271,34,2022-04-02,15:00,Premier League,Matchweek 31,Sat,Away,D,0,0,Brighton,0.4,2.8,37.0,31245.0,Grant Hanley,4-1-2-1-2◆,3-4-1-2,Simon Hooper,Match Report,,6.0,0.0,17.8,0.0,0,0,2022,Norwich City
2278,41,2022-05-15,14:00,Premier League,Matchweek 37,Sun,Away,D,1,1,Wolves,1.1,0.9,36.0,31219.0,Grant Hanley,3-4-3,3-4-3,Tony Harrington,Match Report,,11.0,2.0,14.4,0.0,0,0,2022,Norwich City
